             RMPT357      RMPT267      RMPT177      RMPT087      RMPM002      RMPM272      RMPM182      RMPM092      RMPB357      RMPB267      RMPB177      RMPB087      
'FL43      ' -4.488e-08   -4.488e-08   -4.488e-08   -4.488e-08   2.643e-07    2.643e-07    2.643e-07    2.643e-07    -9.900e-09   -9.900e-09   -9.900e-09   -9.900e-09   
'FL44      ' 2.697e-07    2.697e-07    2.697e-07    2.697e-07    5.497e-09    5.497e-09    5.497e-09    5.497e-09    -1.264e-08   -1.264e-08   -1.264e-08   -1.264e-08   
'FL45      ' 2.856e-07    2.856e-07    2.856e-07    2.856e-07    4.649e-09    4.649e-09    4.649e-09    4.649e-09    -1.323e-08   -1.323e-08   -1.323e-08   -1.323e-08   
'MP4P01R   ' 1.020e-08    2.896e-07    2.138e-08    5.042e-09    1.016e-08    -1.032e-06   6.735e-09    8.704e-09    1.010e-08    2.280e-07    2.165e-08    5.080e-09    
'MP4P01Z   ' -6.989e-09   -9.428e-08   1.437e-08    -8.370e-10   -8.387e-10   8.968e-08    -6.943e-09   -2.520e-10   6.131e-09    3.634e-08    -1.376e-08   6.484e-10    
'MP4P02R   ' 1.016e-08    3.543e-07    2.095e-08    4.976e-09    1.005e-08    -1.044e-06   6.454e-09    8.661e-09    9.967e-09    1.788e-07    2.161e-08    5.103e-09    
'MP4P02Z   ' -7.881e-09   -2.079e-07   1.435e-08    -1.060e-09   -2.567e-09   3.031e-07    -2.040e-08   -8.129e-10   5.192e-09    4.735e-09    -1.296e-08   4.274e-10    
'MP4P03R   ' 1.000e-08    3.765e-07    2.025e-08    4.885e-09    9.832e-09    -1.017e-06   5.826e-09    8.570e-09    9.758e-09    1.407e-07    2.135e-08    5.104e-09    
'MP4P03Z   ' -8.734e-09   -4.182e-07   1.366e-08    -1.290e-09   -4.263e-09   6.026e-07    -3.256e-08   -1.382e-09   4.243e-09    -1.221e-08   -1.203e-08   2.011e-10    
'MP4P04R   ' 9.750e-09    2.153e-07    1.921e-08    4.770e-09    9.503e-09    -8.044e-07   4.945e-09    8.432e-09    9.473e-09    1.114e-07    2.092e-08    5.082e-09    
'MP4P04Z   ' -9.503e-09   -7.235e-07   1.225e-08    -1.514e-09   -5.872e-09   9.930e-07    -4.269e-08   -1.938e-09   3.321e-09    -2.094e-08   -1.103e-08   -1.903e-11   
'MP4P05R   ' 9.397e-09    -2.584e-07   1.782e-08    4.630e-09    9.074e-09    -2.682e-07   3.891e-09    8.248e-09    9.125e-09    8.885e-08    2.036e-08    5.038e-09    
'MP4P05Z   ' -1.017e-08   -8.674e-07   1.016e-08    -1.733e-09   -7.367e-09   1.220e-06    -5.029e-08   -2.479e-09   2.440e-09    -2.515e-08   -1.007e-08   -2.331e-10   
'MP4P06R   ' 1.226e-08    -7.386e-07   1.121e-08    4.832e-09    1.138e-08    2.484e-07    2.453e-08    8.622e-09    7.350e-09    6.084e-08    2.073e-08    4.833e-09    
'MP4P06Z   ' -7.192e-09   -3.330e-07   8.307e-09    -3.749e-10   -6.612e-09   6.981e-07    -5.350e-08   -3.768e-10   3.709e-09    -5.911e-09   -2.200e-10   1.282e-09    
'MP4P07R   ' 1.416e-08    -7.734e-07   9.694e-09    4.925e-09    1.347e-08    2.510e-07    3.884e-08    8.821e-09    6.396e-09    5.422e-08    1.979e-08    4.538e-09    
'MP4P07Z   ' -4.228e-09   -1.501e-07   6.904e-09    7.222e-10    -4.779e-09   5.356e-07    -4.604e-08   1.459e-09    4.718e-09    1.387e-09    5.363e-09    2.431e-09    
'MP4P08R   ' 1.512e-08    -7.455e-07   1.063e-08    5.080e-09    1.479e-08    2.834e-07    4.372e-08    9.176e-09    6.300e-09    4.992e-08    1.919e-08    4.555e-09    
'MP4P08Z   ' -3.280e-09   1.403e-07    4.128e-09    1.034e-09    -4.719e-09   3.872e-07    -4.169e-08   1.916e-09    4.604e-09    -9.255e-10   7.065e-09    2.827e-09    
'MP4P09R   ' 1.604e-08    -5.727e-07   1.214e-08    5.272e-09    1.618e-08    2.719e-07    4.728e-08    9.605e-09    6.320e-09    4.645e-08    1.859e-08    4.600e-09    
'MP4P09Z   ' -2.311e-09   3.899e-07    1.732e-09    1.327e-09    -4.574e-09   2.790e-07    -3.646e-08   2.350e-09    4.450e-09    -2.852e-09   8.327e-09    3.214e-09    
'MP4P10R   ' 1.799e-08    -4.263e-08   1.643e-08    5.762e-09    1.958e-08    2.093e-07    5.277e-08    1.066e-08    6.487e-09    4.113e-08    1.700e-08    4.596e-09    
'MP4P10Z   ' 7.850e-10    4.609e-07    -4.963e-10   2.248e-09    -2.944e-09   1.552e-07    -2.220e-08   3.840e-09    4.400e-09    -4.008e-09   1.080e-08    4.318e-09    
'MP4P11R   ' 1.881e-08    7.866e-08    1.844e-08    6.031e-09    2.106e-08    1.897e-07    5.411e-08    1.120e-08    6.668e-09    3.985e-08    1.649e-08    4.601e-09    
'MP4P11Z   ' 2.279e-09    3.730e-07    -2.660e-10   2.725e-09    -1.898e-09   1.259e-07    -1.668e-08   4.626e-09    4.459e-09    -4.289e-09   1.156e-08    4.852e-09    
'MP4P12R   ' 1.965e-08    1.341e-07    2.081e-08    6.358e-09    2.289e-08    1.648e-07    5.512e-08    1.184e-08    6.892e-09    3.836e-08    1.565e-08    4.508e-09    
'MP4P12Z   ' 4.610e-09    2.604e-07    9.384e-10    3.505e-09    6.011e-11    1.014e-07    -9.231e-09   5.932e-09    4.665e-09    -3.827e-09   1.257e-08    5.652e-09    
'MP4P13R   ' 1.885e-08    1.133e-07    2.218e-08    5.830e-09    2.381e-08    1.303e-07    5.528e-08    1.098e-08    6.197e-09    3.754e-08    1.239e-08    3.167e-09    
'MP4P13Z   ' 1.060e-08    2.045e-07    6.775e-09    5.570e-09    6.688e-09    1.079e-07    7.079e-09    9.580e-09    6.167e-09    3.190e-09    1.586e-08    7.219e-09    
'MP4P14R   ' 1.701e-08    1.069e-07    2.233e-08    4.889e-09    2.321e-08    1.098e-07    5.280e-08    9.391e-09    5.383e-09    3.706e-08    9.384e-09    1.580e-09    
'MP4P14Z   ' 1.615e-08    1.690e-07    1.286e-08    7.695e-09    1.325e-08    1.087e-07    2.038e-08    1.319e-08    7.614e-09    8.760e-09    1.823e-08    8.573e-09    
'MP4P15R   ' 9.902e-09    8.917e-08    1.745e-08    1.302e-09    1.698e-08    8.102e-08    4.273e-08    3.387e-09    2.510e-09    3.497e-08    2.837e-09    -2.248e-09   
'MP4P15Z   ' 2.390e-08    1.590e-07    2.265e-08    1.056e-08    2.348e-08    1.236e-07    4.007e-08    1.802e-08    9.832e-09    2.052e-08    2.122e-08    9.650e-09    
'MP4P16R   ' -5.591e-09   8.693e-08    3.369e-09    -6.815e-09   4.276e-10    5.277e-08    2.024e-08    -9.721e-09   -3.752e-09   2.919e-08    -7.816e-09   -8.696e-09   
'MP4P16Z   ' 2.788e-08    1.609e-07    2.933e-08    1.106e-08    3.083e-08    1.457e-07    5.780e-08    1.891e-08    1.067e-08    3.926e-08    2.217e-08    8.011e-09    
'MP4P17R   ' -1.612e-08   1.259e-07    -7.189e-09   -1.233e-08   -1.210e-08   5.715e-08    6.005e-09    -1.861e-08   -8.926e-09   2.586e-08    -1.547e-08   -1.239e-08   
'MP4P17Z   ' 2.267e-08    1.582e-07    2.236e-08    7.139e-09    2.649e-08    1.709e-07    5.975e-08    1.270e-08    7.942e-09    5.814e-08    2.067e-08    4.157e-09    
'MP4P18R   ' -1.650e-08   1.634e-07    -7.756e-09   -1.308e-08   -1.295e-08   8.914e-08    9.370e-09    -1.976e-08   -9.862e-09   3.336e-08    -1.569e-08   -1.296e-08   
'MP4P18Z   ' 2.097e-08    1.250e-07    1.730e-08    6.469e-09    2.423e-08    1.707e-07    5.646e-08    1.145e-08    7.145e-09    6.407e-08    2.154e-08    3.799e-09    
'MP4P19R   ' -1.682e-08   1.772e-07    -1.158e-08   -1.496e-08   -1.584e-08   1.962e-07    1.851e-08    -2.301e-08   -1.349e-08   7.615e-08    -1.571e-08   -1.470e-08   
'MP4P19Z   ' 1.144e-08    -2.448e-08   -4.444e-09   3.189e-09    1.144e-08    9.956e-08    2.905e-08    5.165e-09    1.753e-09    8.176e-08    2.108e-08    1.478e-09    
'MP4P20R   ' -1.648e-08   1.580e-07    -1.271e-08   -1.518e-08   -1.628e-08   2.139e-07    1.989e-08    -2.348e-08   -1.440e-08   9.361e-08    -1.531e-08   -1.499e-08   
'MP4P20Z   ' 8.472e-09    -5.085e-08   -9.570e-09   2.184e-09    6.995e-09    6.294e-08    1.804e-08    3.116e-09    -4.437e-10   8.239e-08    1.952e-08    6.220e-10    
'MP4P21R   ' -1.594e-08   1.363e-07    -1.374e-08   -1.524e-08   -1.650e-08   2.233e-07    2.063e-08    -2.370e-08   -1.522e-08   1.136e-07    -1.466e-08   -1.517e-08   
'MP4P21Z   ' 5.634e-09    -6.845e-08   -1.379e-08   1.217e-09    2.408e-09    2.217e-08    6.283e-09    1.060e-09    -2.881e-09   7.877e-08    1.717e-08    -2.678e-10   
'MP4P22R   ' -1.524e-08   1.142e-07    -1.464e-08   -1.517e-08   -1.650e-08   2.235e-07    2.064e-08    -2.370e-08   -1.592e-08   1.358e-07    -1.378e-08   -1.524e-08   
'MP4P22Z   ' 2.997e-09    -7.907e-08   -1.705e-08   3.428e-10    -2.240e-09   -2.197e-08   -6.073e-09   -9.275e-10   -5.514e-09   6.834e-08    1.393e-08    -1.141e-09   
'MP4P23R   ' -1.442e-08   9.374e-08    -1.533e-08   -1.499e-08   -1.629e-08   2.141e-07    1.988e-08    -2.348e-08   -1.648e-08   1.579e-07    -1.272e-08   -1.517e-08   
'MP4P23Z   ' 4.904e-10    -8.256e-08   -1.948e-08   -5.931e-10   -6.923e-09   -6.281e-08   -1.794e-08   -3.063e-09   -8.421e-09   5.098e-08    9.643e-09    -2.154e-09   
'MP4P24R   ' -1.350e-08   7.613e-08    -1.575e-08   -1.470e-08   -1.586e-08   1.962e-07    1.847e-08    -2.302e-08   -1.684e-08   1.772e-07    -1.158e-08   -1.497e-08   
'MP4P24Z   ' -1.701e-09   -8.200e-08   -2.103e-08   -1.433e-09   -1.137e-08   -9.982e-08   -2.901e-08   -5.089e-09   -1.137e-08   2.432e-08    4.520e-09    -3.143e-09   
'MP4P25R   ' -9.864e-09   3.354e-08    -1.566e-08   -1.296e-08   -1.292e-08   8.980e-08    9.491e-09    -1.975e-08   -1.647e-08   1.641e-07    -7.745e-09   -1.307e-08   
'MP4P25Z   ' -7.147e-09   -6.411e-08   -2.157e-08   -3.812e-09   -2.421e-08   -1.706e-07   -5.640e-08   -1.146e-08   -2.097e-08   -1.244e-07   -1.724e-08   -6.479e-09   
'MP4P26R   ' -8.825e-09   2.694e-08    -1.514e-08   -1.239e-08   -1.178e-08   6.038e-08    6.935e-09    -1.853e-08   -1.583e-08   1.283e-07    -6.811e-09   -1.230e-08   
'MP4P26Z   ' -8.080e-09   -5.773e-08   -2.091e-08   -4.337e-09   -2.665e-08   -1.691e-07   -5.951e-08   -1.297e-08   -2.287e-08   -1.542e-07   -2.236e-08   -7.318e-09   
'MP4P27R   ' -3.837e-09   2.913e-08    -7.943e-09   -8.757e-09   2.237e-10    5.267e-08    2.000e-08    -9.868e-09   -5.769e-09   8.738e-08    3.179e-09    -6.905e-09   
'MP4P27Z   ' -1.065e-08   -3.954e-08   -2.216e-08   -7.963e-09   -3.082e-08   -1.462e-07   -5.792e-08   -1.885e-08   -2.785e-08   -1.613e-07   -2.931e-08   -1.102e-08   
